Title,nonfungibleness,transferrable,Generation,Generative,ownership_period,OnChain,Category,Format,Type,Interactive,Animated,Website,OpenSea,Twitter,Contract,image,Detail,Network,Date
Terra Nullius,Fully nonfungible,FALSE,User-created,FALSE,Forever,TRUE,Collectible,Textual,Token only,FALSE,FALSE,N/A,https://opensea.io/collection/terra-nullius-v2,N/A,https://etherscan.io/address/0x6e38A457C722C6011B2dfa06d49240e797844d66,https://raw.githubusercontent.com/chainleft/nft.observer/main/images/Terra%20Nullius.png,,Ethereum,"August 07, 2015"
Etheria v1.1 (Blockplots),Fully nonfungible,TRUE,Generative,N/A,Forever,FALSE,Collectible,Real estate,Real estate,FALSE,FALSE,https://blockplots.eth.link/,https://blockplots.eth.link/marketplace.html,https://twitter.com/Blockplots2015,https://etherscan.io/address/0x169332ae7d143e4b5c6baedb2fef77bfbddb4011,https://raw.githubusercontent.com/chainleft/nft.observer/main/images/blockplots.png,,Ethereum,"October 29, 2015"
Etheria,Fully nonfungible,TRUE,Generative,N/A,Forever,FALSE,Collectible,Real estate,Real estate,FALSE,FALSE,https://etheria.world/,https://etheria.world/exchange.html,https://twitter.com/etheria_feed,https://etherscan.io/address/0xb21f8684f23dbb1008508b4de91a0aaedebdb7e4,https://raw.githubusercontent.com/chainleft/nft.observer/main/images/Etheria.png,metaverse,Ethereum,"November 1, 2015"
PixelMap,Fully nonfungible,TRUE,Generative,N/A,Forever,FALSE,Collectible,Real estate,Real estate,FALSE,FALSE,http://pixelmap.io/,https://opensea.io/collection/wrapped-pixelmap,https://twitter.com/pixelmapnft,https://etherscan.io/address/0x015a06a433353f8db634df4eddf0c109882a15ab,,,Ethereum,"November 17, 2016"
Curio Cards,Semi-fungible,TRUE,Curated,FALSE,Forever,FALSE,Art,Visual,Still images,FALSE,FALSE,https://curio.cards/,https://opensea.io/collection/curiocardswrapper,https://twitter.com/MyCurioCards,https://etherscan.io/address/0x6Aa2044C7A0f9e2758EdAE97247B03a0D7e73d6c,https://raw.githubusercontent.com/chainleft/nft.observer/main/images/curio%20cards.gif,artist collaboration,Ethereum,"May 9, 2017"
CryptoPunks,Fully nonfungible,TRUE,Generative,TRUE,Forever,FALSE,PFP,Visual,Still images,FALSE,FALSE,https://www.larvalabs.com/cryptopunks,https://opensea.io/collection/wrapped-cryptopunks,https://twitter.com/larvalabs,https://etherscan.io/address/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,https://raw.githubusercontent.com/chainleft/nft.observer/main/images/cryptopunks.png,pixel,Ethereum,"June 22, 2017"
Mooncats,Fully nonfungible,TRUE,Generative,TRUE,Forever,TRUE,Collectible,Visual,Still images,FALSE,FALSE,https://mooncat.community/,https://opensea.io/collection/acclimatedmooncats,https://twitter.com/ponderware,https://etherscan.io/address/0x60cd862c9c687a9de49aecdc3a99b74a4fc54ab6,https://raw.githubusercontent.com/chainleft/nft.observer/main/images/mooncats.png,"blockchain archeology, pixel",Ethereum,"August 9, 2017"
Thousand Ether Homepage,Fully nonfungible,TRUE,,N/A,Forever,FALSE,Collectible,Real estate,Real estate,FALSE,FALSE,https://thousandetherhomepage.com/,https://opensea.io/collection/thousand-ether-homepage,https://twitter.com/ketherhomepage,https://etherscan.io/address/0xb5fe93ccfec708145d6278b0c71ce60aa75ef925,,,Ethereum,"August 27, 2017"
Digital Zones,Semi-fungible,TRUE,Curated,FALSE,Forever,FALSE,Art,Visual,Still images,FALSE,FALSE,https://chan.gallery/ikb/,https://opensea.io/collection/ikb-cachet-de-garantie-1,,https://etherscan.io/address/0x88ae96845e157558ef59e9ff90e766e22e480390,https://raw.githubusercontent.com/chainleft/nft.observer/main/images/Digital%20Zones.png,,Ethereum,"August 29, 2017"
DADA Creeps & Weirdos,Semi-fungible,TRUE,Curated,FALSE,Forever,FALSE,Art,Visual,Still images,FALSE,FALSE,https://dada.art/home,https://opensea.io/collection/dada-collectible,https://twitter.com/powerdada,https://etherscan.io/address/0x068696a3cf3c4676b65f1c9975dd094260109d02,https://raw.githubusercontent.com/chainleft/nft.observer/main/images/dadas%26creeps.png,,Ethereum,"October 5, 2017"
